Site ID,Governing LHN,Geographical LHN,Site Name,Address,Suburb,Notes,Search Address,Latitude,Longitude
141,SAAS,EFNLHN,SA Ambulance - Cowell,1 Lincoln Highway,COWELL,,"SA Ambulance - Cowell, 1 Lincoln Highway, COWELL",-33.68077764,136.9223042
142,SAAS,EFNLHN,SA Ambulance - Kimba,8B Cross Street,KIMBA,,"SA Ambulance - Kimba, 8B Cross Street, KIMBA",-33.13855465,136.419152
143,SAAS,EFNLHN,SA Ambulance - Lock, Dearman Street,LOCK,,"SA Ambulance - Lock,  Dearman Street, LOCK",-33.56690915,135.756028
144,SAAS,EFNLHN,SA Ambulance - Port Kenny,4-6 Little Street,PORT KENNY,,"SA Ambulance - Port Kenny, 4-6 Little Street, PORT KENNY",-33.16831897,134.6854496
145,SAAS,EFNLHN,SA Ambulance - Port Lincoln,14 Marine Avenue,PORT LINCOLN,,"SA Ambulance - Port Lincoln, 14 Marine Avenue, PORT LINCOLN",-34.724571,135.850922
146,SAAS,EFNLHN,SA Ambulance - Tumby Bay,Wibberley Street,TUMBY BAY,,"SA Ambulance - Tumby Bay, Wibberley Street, TUMBY BAY",-34.37193296,136.1034602
147,SAAS,FUNLHN,SA Ambulance - Hawker,46 Elder Terrace,HAWKER,,"SA Ambulance - Hawker, 46 Elder Terrace, HAWKER",-31.89345545,138.4280546
148,SAAS,FUNLHN,SA Ambulance - Port Augusta,45 Elizabeth Terrace ,PORT AUGUSTA,,"SA Ambulance - Port Augusta, 45 Elizabeth Terrace , PORT AUGUSTA",-32.50917447,137.7772865
149,SAAS,FUNLHN,SA Ambulance - Port Augusta,22-28 Flinders Terrace,PORT AUGUSTA,,"SA Ambulance - Port Augusta, 22-28 Flinders Terrace, PORT AUGUSTA",-32.49466503,137.7627504
150,SAAS,FUNLHN,SA Ambulance - Quorn,Hospital Road,QUORN,,"SA Ambulance - Quorn, Hospital Road, QUORN",-32.35171299,138.0371008
151,SAAS,FUNLHN,SA Ambulance - Whyalla Playford ,118 Nicolson Avenue,WHYALLA NORRIE,Note: New site in Whyalla being built – unsure if both sites to operate or if existing will close.,"SA Ambulance - Whyalla Playford , 118 Nicolson Avenue, WHYALLA NORRIE",-33.0285679,137.5526554
152,SAAS,LCLHN,SA Ambulance - Bordertown,Tatiara Terrace,BORDERTOWN,,"SA Ambulance - Bordertown, Tatiara Terrace, BORDERTOWN",-36.30823439,140.7700915
153,SAAS,LCLHN,SA Ambulance - Keith,27 Hill Avenue,KEITH,,"SA Ambulance - Keith, 27 Hill Avenue, KEITH",-36.09753244,140.346149
154,SAAS,LCLHN,SA Ambulance - Millicent,Mount Gambier Road ,MILLICENT,,"SA Ambulance - Millicent, Mount Gambier Road , MILLICENT",-37.59813336,140.358157
155,SAAS,LCLHN,SA Ambulance - Mount Gambier,54 Sturt Street,MOUNT GAMBIER,,"SA Ambulance - Mount Gambier, 54 Sturt Street, MOUNT GAMBIER",-37.83272318,140.7859291
156,SAAS,LCLHN,SA Ambulance - Nangwarry,Riddoch Highway,NANGWARRY,,"SA Ambulance - Nangwarry, Riddoch Highway, NANGWARRY",-37.54260027,140.8143252
157,SAAS,LCLHN,SA Ambulance - Naracoorte,100 Butler Terrace,NARACOORTE,,"SA Ambulance - Naracoorte, 100 Butler Terrace, NARACOORTE",-36.96455819,140.7445214
158,SAAS,LCLHN,SA Ambulance - Penola,16E Church Street,PENOLA,,"SA Ambulance - Penola, 16E Church Street, PENOLA",-37.38353508,140.8363197
159,SAAS,LCLHN,SA Ambulance - Port MacDonnell,42 Meylin Street,PORT MACDONNELL,,"SA Ambulance - Port MacDonnell, 42 Meylin Street, PORT MACDONNELL",-38.05286813,140.6997215
160,SAAS,NALHN,SA Ambulance - Elizabeth,Corner Tolmer and Main North Road,ELIZABETH PARK,,"SA Ambulance - Elizabeth, Corner Tolmer and Main North Road, ELIZABETH PARK",-34.70778623,138.6791775
161,SAAS,NALHN,SA Ambulance - Gepps Cross,7 Scania Court,GEPPS CROSS,,"SA Ambulance - Gepps Cross, 7 Scania Court, GEPPS CROSS",-34.84430867,138.5934335
162,SAAS,NALHN,SA Ambulance - Golden Grove,411 The Grove Way ,GOLDEN GROVE,,"SA Ambulance - Golden Grove, 411 The Grove Way , GOLDEN GROVE",-34.79174874,138.6973544
163,SAAS,NALHN,SA Ambulance - Oakden,258 Fosters Road,OAKDEN,,"SA Ambulance - Oakden, 258 Fosters Road, OAKDEN",-34.85093015,138.6364128
164,SAAS,NALHN,SA Ambulance - Parafield,1 Lockheed Lane,PARAFIELD,,"SA Ambulance - Parafield, 1 Lockheed Lane, PARAFIELD",-34.85113811,138.635828
165,SAAS,NALHN,SA Ambulance - Redwood Park,372 Milne Road,REDWOOD PARK,,"SA Ambulance - Redwood Park, 372 Milne Road, REDWOOD PARK",-34.81698103,138.6953246
166,SAAS,NALHN,SA Ambulance - Salisbury,1-3 Bremen Drive,SALISBURY SOUTH,,"SA Ambulance - Salisbury, 1-3 Bremen Drive, SALISBURY SOUTH",-34.78376689,138.6373695
167,SAAS,RMCLHN,SA Ambulance - Barmera,1B Langdon Terrace,BARMERA,,"SA Ambulance - Barmera, 1B Langdon Terrace, BARMERA",-34.25293872,140.4666109
168,SAAS,RMCLHN,SA Ambulance - Berri,25 Cornwall Street ,BERRI,,"SA Ambulance - Berri, 25 Cornwall Street , BERRI",-34.27747733,140.6019341
170,SAAS,RMCLHN,SA Ambulance - Karoonda,20 Stokes Road,KAROONDA,,"SA Ambulance - Karoonda, 20 Stokes Road, KAROONDA",-35.09492083,139.8897373
171,SAAS,RMCLHN,SA Ambulance - Lameroo,Chandos Terrace,LAMEROO,,"SA Ambulance - Lameroo, Chandos Terrace, LAMEROO",-35.32894011,140.5150311
